temprature,humidity,visibility,pressure,wind speed,time
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
15°C,45%,>10000m,1017.0mb,Wind: 6  Km/h,(21:00 Local time)
